!# time[s]	real	imag	abs
0.396049	0.148453	0.0317383	0.151808
0.39628	0.0740509	0.0851898	0.112875
0.396511	0.192657	0.117645	0.225737
0.396742	0.0964966	-0.0685272	0.118354
0.396973	0.131439	0.174744	0.218659
0.397204	0.112244	-0.0296631	0.116097
0.397435	-0.0327759	0.0377503	0.0499934
0.397666	0.204865	-0.0484924	0.210525
0.397897	0.0910492	0.0649262	0.111827
0.398128	0.209808	-0.0680084	0.220555
0.398359	0.100159	0.0485992	0.111327
0.39859	0.162125	0.00642396	0.162252
0.398821	0.154129	0.117691	0.193925
0.399052	0.0487366	0.0960846	0.107738
0.399283	0.0649414	0.0737457	0.098264
0.399514	0.248215	0.00738525	0.248325
0.399745	0.173508	-0.0704346	0.187259
0.399976	0.168732	0.0156402	0.169455
0.400207	0.120865	0.187607	0.22317
0.400438	0.156174	0.132462	0.204784
0.400669	0.208633	0.0259705	0.210244
0.4009	0.112564	0.0322571	0.117095
0.401131	0.150574	-0.0304565	0.153623
0.401362	-0.0172577	-0.00379945	0.017671
0.401593	0.0731812	-0.0793762	0.107963
0.401824	0.0534515	-0.0517731	0.0744145
0.402055	0.0492401	0.0853424	0.0985288
0.402286	0.0154419	-0.0319977	0.0355289
0.402517	0.29953	0.111557	0.31963
0.402748	0.0999603	0.0548706	0.11403
0.402979	0.111801	-0.0283814	0.115347
0.40321	0.24292	-0.102325	0.263592
0.403441	0.0373688	-0.015686	0.0405275
0.403672	0.107758	-0.0890656	0.139801
0.403903	0.0298767	0.00663757	0.0306052
0.404134	0.171387	-0.113693	0.205669
0.404365	0.0687256	-0.0212402	0.071933
0.404596	0.277374	-0.0151367	0.277787
0.404827	0.0657349	-0.0438843	0.0790374
0.405058	0.13324	0.0121307	0.133791
0.405289	0.0123291	0.065445	0.0665962
0.40552	0.0495758	0.163345	0.170703
0.405751	0.115112	0.103333	0.154688
0.405982	0.0290528	0.00224304	0.0291392
0.406213	0.0867767	-0.0720825	0.11281
0.406444	0.0503388	-0.0159149	0.0527947
0.406675	0.0595398	0.0730286	0.094224
0.406906	0.128876	0.0926361	0.158715
0.407137	0.114182	-0.0832977	0.141336
0.407368	0.11911	0.0804901	0.143756
0.407599	0.125824	-0.0610657	0.13986
0.40783	0.0444946	-0.161362	0.167384
0.408061	0.0158234	-0.000686647	0.0158383
0.408292	0.0380554	0.0704956	0.0801115
0.408523	0.144867	0.00706482	0.145039
0.408754	-0.0418854	-0.0433197	0.0602576
0.408985	0.129242	0.106918	0.167735
0.409216	0.165756	0.0878449	0.187595
0.409447	0.0738678	0.0694885	0.101416
0.409678	0.0119476	0.0662079	0.0672773
0.409909	0.0864563	-0.0955505	0.128859
0.41014	0.0127716	-0.0835571	0.0845276
0.410371	0.0882721	0.080246	0.119295
0.410602	0.180389	0.0872955	0.200402
0.410833	-0.00804139	-0.0654144	0.0659069
0.411064	-0.08284	-0.0071869	0.0831511
0.411295	0.158051	0.216324	0.26791
0.411526	0.16597	0.0669708	0.178972
0.411757	0.218658	0.137863	0.258491
0.411988	0.130066	-0.0410614	0.136394
0.412219	0.0407562	-0.0138702	0.0430518
0.41245	0.00653076	0.0846405	0.0848921
0.412681	0.0529328	-0.0286713	0.060199
0.412912	0.076828	0.210388	0.223977
0.413143	0.0362244	0.0189972	0.0409035
0.413374	-0.0555573	-0.124558	0.136386
0.413605	0.139175	0.101654	0.172347
0.413836	0.0371857	-0.0122681	0.0391571
0.414067	0.0697937	-0.035202	0.0781687
0.414298	0.214264	-0.0574799	0.22184
0.414529	0.078949	-0.0138245	0.0801502
0.41476	0.100647	0.0599518	0.11715
0.414991	0.089035	-0.112656	0.143592
0.415222	0.250946	-0.013916	0.251332
0.415453	0.0347443	-0.0411377	0.0538468
0.415684	0.0652313	-0.0839386	0.106305
0.415915	0.12262	0.243683	0.272795
0.416146	0.19696	-0.0170593	0.197698
0.416377	0.123169	0.0282745	0.126373
0.416608	0.0680542	-0.000579832	0.0680567
0.416839	0.0957642	-0.173065	0.197794
0.41707	0.0291443	0.0636139	0.0699723
0.417301	-0.0478211	0.00183106	0.0478561
0.417532	0.171356	0.0668183	0.183923
0.417763	-0.0253143	0.0688324	0.0733397
0.417994	-0.0215912	0.0269165	0.0345062
0.418225	0.231552	0.222076	0.320834
0.418456	0.0263062	-0.210724	0.21236
0.418687	0.12027	-0.0524292	0.131201
0.418918	0.0308075	0.000244131	0.0308085
0.419149	0.0340119	-0.0354157	0.0491027
0.41938	0.180786	-0.0681152	0.193192
0.419611	0.0982056	-0.0627136	0.116522
0.419842	0.141907	0.0618897	0.154816
